symbol,date_0d,price_0d,perf_7d,perf_30d,perf_90d,perf_365d,listing_date,days_diff
ARTO.JK,2016-01-12 02:00:00,21.58707046508789,-26.01155768034224,-27.74566476542083,-19.075138175634542,-7.514444891526141,2016-01-12,0
HALO.JK,2023-02-08 02:00:00,117.0,7.6923076923076925,0.8547008547008548,70.94017094017094,-57.26495726495726,2023-02-08,0
HADE.JK,2004-04-12 02:00:00,7.062733173370361,-19.99999324854633,-19.99999324854633,-68.88889976623092,-37.77778602955449,2004-04-12,0
SDMU.JK,2011-07-12 02:00:00,192.0,0.0,20.833333333333336,27.083333333333332,22.916666666666664,2011-07-12,0
UNTD.JK,2024-02-07 02:00:00,232.0,-24.568965517241377,-24.137931034482758,-45.689655172413794,-51.293103448275865,2024-02-07,0
SHIP.JK,2016-06-16 02:00:00,238.0,141.5966386554622,54.621848739495796,41.17647058823529,223.52941176470588,2016-06-16,0
DRMA.JK,2021-12-20 02:00:00,496.0,5.846774193548387,28.024193548387093,25.0,20.967741935483872,2021-12-20,0
MSIN.JK,2018-06-08 02:00:00,262.5,0.0,-7.428571428571429,-20.761904761904763,-28.38095238095238,2018-06-08,0
BOBA.JK,2021-11-01 02:00:00,350.0,-16.0,-28.57142857142857,-44.0,-45.42857142857143,2021-11-01,0
BEKS.JK,2001-07-13 02:00:00,68.16165924072266,2.564101416093534,0.0,-17.94872110574278,-46.1538478758597,2001-07-13,0
TLDN.JK,2022-04-12 02:00:00,615.0,-4.878048780487805,10.569105691056912,-3.2520325203252036,-18.69918699186992,2022-04-12,0
MAHA.JK,2023-07-25 02:00:00,159.0,73.58490566037736,58.490566037735846,42.138364779874216,42.138364779874216,2023-07-25,0
PURI.JK,2020-09-08 02:00:00,228.0,53.50877192982456,49.122807017543856,27.192982456140353,70.17543859649122,2020-09-08,0
ASLI.JK,2024-01-05 02:00:00,89.0,-35.95505617977528,-43.82022471910113,-43.82022471910113,-43.82022471910113,2024-01-05,0
MANG.JK,2024-01-11 02:00:00,90.0,-12.222222222222221,8.88888888888889,81.11111111111111,60.0,2024-01-11,0
